State,Recharge_Rainfall_Monsoon,Recharge_Other_Monsoon,Recharge_Rainfall_NonMonsoon,Recharge_Other_NonMonsoon,Total_Recharge,Natural_Discharges,Extractable_Resource,Irrigation,Industrial,Domestic,Total_Extraction,Domestic_Allocation,Net_Availability,Stage_Extraction,Year,Industrial_was_missing,Population,CAGR_2011_2021_pct,Source_Note,Rainfall_mm,Rainfall_Mapping_Note
Lakshadweep,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,61.6,2022,False,68654,0.5815,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1950,direct
Madhya Pradesh,26.87,1.56,0.11,6.69,35.23,2.66,32.58,17.39,0.17,1.69,19.25,1.88,14.21,59.1,2022,False,85113270,1.5145,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1210,direct
Maharashtra,20.72,2.43,0.54,8.6,32.29,1.84,30.45,15.29,0.003,1.35,16.65,1.35,14.38,54.68,2022,False,124100413,0.9194,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1300,direct
Manipur,0.4,0.0,0.11,0.01,0.52,0.05,0.47,0.02,0.0002,0.02,0.04,0.02,0.43,7.95,2022,False,3150912,0.7964,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1680,direct
Meghalaya,1.29,0.01,0.42,0.0,1.72,0.17,1.51,0.003,0.0007,0.05,0.05,0.06,1.45,3.55,2022,False,3432742,1.2791,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),2950,used_dedicated_subdivision_not_combined
Mizoram,0.19,0.0,0.03,0.0,0.22,0.02,0.2,0.0,0.0,0.01,0.01,0.01,0.19,3.96,2022,False,1251679,1.23,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),2150,direct
Nagaland,0.36,0.33,0.08,0.02,0.79,0.08,0.71,0.002,2e-05,0.02,0.02,0.02,0.69,2.89,2022,False,2204199,0.8713,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),2000,direct
Odisha,10.44,2.82,1.81,2.72,17.79,1.44,16.34,5.83,0.16,1.24,7.23,1.37,9.03,44.25,2022,False,46284847,0.998,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1520,direct
Punjab,4.67,9.09,0.72,4.46,18.94,1.87,17.07,26.69,0.16,1.17,28.02,1.19,1.57,165.99,2022,False,30504255,0.8325,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),560,direct
Rajasthan,8.71,0.62,0.2,2.61,12.13,1.17,10.96,14.18,0.14,2.23,16.56,2.28,0.87,151.07,2022,False,80161515,1.489,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),510,direct
Sikkim,0.1712,0.0039,0.0956,0.0005,0.2712,0.0271,0.2441,0.0089,0.0022,0.0036,0.0147,0.0038,0.2291,6.04,2022,False,696101,1.2341,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),3200,direct
Tamil Nadu,7.42,9.76,1.33,2.59,21.11,2.04,19.09,13.68,0.18,0.57,14.43,1.36,6.42,75.59,2022,False,77872988,0.7625,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1100,direct
Telangana,7.19,6.66,0.98,6.44,21.27,2.02,19.25,7.257,0.154,0.596,8.0,3.82,11.23,41.6,2022,False,39111503,1.059,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1050,direct
Tripura,0.81,0.06,0.22,0.22,1.31,0.25,1.06,0.02,0.0007,0.08,0.1,0.09,0.96,9.7,2022,False,4078949,0.8601,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),2200,direct
Uttar Pradesh,35.44,13.96,0.82,21.23,71.45,6.13,65.3,40.72,0.41,5.01,46.14,5.48,19.99,70.66,2022,False,237521027,1.665,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),900.0,averaged_from_2_subdivisions
Uttarakhand,1.28,0.31,0.1,0.32,2.01,0.16,1.86,0.63,0.12,0.15,0.89,0.15,0.96,48.04,2022,False,11308507,1.0004,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1700,direct
West Bengal,15.46,1.65,3.04,3.46,23.61,2.19,21.42,8.38,0.14,1.54,10.07,1.76,11.29,47.01,2022,False,101509796,1.0071,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),2325.0,averaged_from_2_subdivisions
