State,Recharge_Rainfall_Monsoon,Recharge_Other_Monsoon,Recharge_Rainfall_NonMonsoon,Recharge_Other_NonMonsoon,Total_Recharge,Natural_Discharges,Extractable_Resource,Irrigation,Industrial,Domestic,Total_Extraction,Domestic_Allocation,Net_Availability,Stage_Extraction,Year,Industrial_was_missing
Dadra & Nagar Haveli and Daman & Diu,0.07,0.02,0.0,0.03,0.13,0.01,0.12,0.01,0.02,0.02,0.05,0.05,0.05,41.67,2025,False
Delhi,0.11,0.09,0.01,0.17,0.38,0.04,0.35,0.08,0.0,0.23,0.32,0.27,0.03,92.1,2025,False
Goa,0.34,0.01,0.0,0.03,0.38,0.08,0.31,0.03,0.0,0.04,0.07,0.05,0.23,23.3,2025,False
Gujarat,19.51,2.82,0.0,5.25,27.58,1.97,25.61,13.25,0.2,0.88,14.33,1.16,11.97,55.95,2025,False
Haryana,3.21,3.55,0.63,2.88,10.27,0.97,9.3,11.42,0.58,0.72,12.72,0.74,1.11,136.75,2025,False
Himachal Pradesh,0.61,0.18,0.13,0.2,1.12,0.11,1.01,0.19,0.07,0.13,0.39,0.13,0.62,38.5,2025,False
Jammu & Kashmir,1.02,0.35,0.78,0.15,2.3,0.23,2.07,0.13,0.02,0.37,0.51,0.37,1.56,24.73,2025,False
Jharkhand,4.83,0.47,0.46,0.38,6.15,0.51,5.63,0.94,0.23,0.69,1.85,0.69,3.79,32.89,2025,False
Karnataka,9.02,5.37,1.23,3.66,19.27,1.86,17.41,10.16,0.21,1.21,11.58,1.48,7.32,66.49,2025,False
Kerala,4.07,0.17,0.32,0.9,5.45,0.52,4.93,1.18,0.01,1.28,2.46,1.36,2.38,49.95,2025,False
Ladakh,0.0,0.05,0.01,0.0,0.07,0.01,0.06,0.0,0.0,0.02,0.02,0.02,0.04,30.93,2025,False
Lakshadweep,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,57.79,2025,False
Madhya Pradesh,26.99,1.75,0.11,7.22,36.07,1.92,34.15,18.27,0.21,1.79,20.26,2.37,14.51,59.32,2025,False
Maharashtra,20.63,3.08,0.99,9.19,33.89,1.89,31.99,15.13,0.04,1.4,16.57,1.46,15.81,51.79,2025,False
Manipur,0.4,0.001,0.07,0.016,0.44,0.04,0.4,0.017,0.0008,0.02,0.04,0.02,0.36,9.09,2025,False
Meghalaya,1.34,0.04,0.42,0.03,1.84,0.3,1.54,0.03,0.0,0.05,0.08,0.07,1.44,5.24,2025,False
Mizoram,0.18,0.0,0.04,0.0,0.21,0.02,0.19,0.0,0.0,0.01,0.01,0.01,0.18,4.03,2025,False
Nagaland,0.39,0.07,0.09,0.01,0.55,0.05,0.5,0.01,0.0,0.02,0.02,0.02,0.48,4.72,2025,False
Odisha,10.11,2.96,1.51,2.86,17.44,1.42,16.02,6.32,0.21,1.28,7.81,2.36,7.97,48.75,2025,False
Puducherry,0.05,0.09,0.01,0.04,0.19,0.02,0.17,0.07,0.01,0.05,0.13,0.07,0.03,75.98,2025,False
Punjab,4.71,8.76,0.72,4.39,18.6,1.82,16.8,24.89,0.25,1.12,26.27,1.16,1.86,156.36,2025,False
Rajasthan,9.25,0.72,0.23,2.67,12.87,1.25,11.62,14.46,0.13,2.51,17.1,2.51,0.93,147.11,2025,False
Sikkim,0.18,0.0,0.06,0.0,0.24,0.02,0.22,0.01,0.0,0.0,0.01,0.0,0.2,5.87,2025,False
Tamil Nadu,7.8,10.84,0.62,3.34,22.61,2.17,20.46,14.15,0.25,0.64,15.04,1.35,7.32,73.5,2025,False
Telangana,7.34,7.07,0.92,6.6,21.93,2.09,19.84,8.28,0.4,0.59,9.26,0.8,10.67,46.69,2025,False
Tripura,0.97,0.11,0.2,0.25,1.53,0.29,1.24,0.04,0.0,0.09,0.12,0.1,1.1,10.06,2025,False
Uttar Pradesh,36.83,14.3,0.77,21.49,73.39,6.41,66.97,41.34,0.37,5.18,46.89,5.87,20.53,70.0,2025,False
Uttarakhand,1.54,0.2,0.14,0.24,2.13,0.17,1.95,0.74,0.13,0.18,1.05,0.32,0.79,53.92,2025,False
West Bengal,16.69,1.68,3.41,4.07,25.85,2.36,23.5,8.98,0.17,1.47,10.62,3.85,12.4,45.19,2025,False
